i,n,Name,Lat,Long,Location,County,Region,Type,Total capacity (MW),Opened,Closed,Demolished,Notes
i,n,Wave hub,50.311175,-5.5249139,Hayle,Cornwall,South West,Wave,20,TBD*,,,Experimental joint development
i,n,Langage,50.3884,-4.01161083,Plymouth,Devon,South West,CCGT,878,2010,,,2x452.5 MW
i,n,Chickerell,50.62340667,-2.489755,Chickerell,Dorset,South West,Gas,45,1998,,,
i,n,Winfrith,50.6820139,-2.2610806,,,,SGHWR,100,1968,1990,2018*,Research reactor site active 1958-1995
i,n,Fawley,50.8167333,-1.3288806,Fawley,Hampshire,South East,Oil,968,1971,2013,,4x500 MW
i,n,Shoreham A,50.8295111,-0.2305667,Southwick,West Sussex,South East,Coal,53,1904,1976,Yes,
i,n,Shoreham B,50.8295111,-0.2305667,Southwick,West Sussex,South East,Coal,342,1958,Yes,2009,
i,n,Shoreham C,50.8295111,-0.2305667,Southwick,West Sussex,South East,CCGT,420,2000,,,
i,n,Hastings,50.8686806,0.5941361,Hastings,East Sussex,South East,Gas,110,1966,1980s,2003,2 generating sets
i,n,Marchwood A,50.8983083,-1.4370306,Marchwood,Hampshire,South East,Coal,?,?,1980s,,
i,n,Marchwood B,50.8983083,-1.4370306,Marchwood,Hampshire,South East,CCGT,840,2009,,,
i,n,Dungeness A1,50.9139583,0.96385,Dungeness,Kent,South East,Magnox,285,1965,2006,,
i,n,Dungeness A2,50.9139583,0.96385,Dungeness,Kent,South East,Magnox,285,1965,2006,,
i,n,Dungeness B1,50.9139583,0.96385,Dungeness,Kent,South East,AGR,660,1983,,,
i,n,Dungeness B2,50.9139583,0.96385,Dungeness,Kent,South East,AGR,660,1985,,,
i,n,Sevington,51.06566139,0.86256139,Sevington,Kent,South East,Gas enigine,10,2002,,,
i,n,Gants Mill,51.106444,-2.4669194,Bruton,Somerset,South West,Small hydro,0.012,2004,,,
i,n,River Wey,51.18005611,-0.75000944,Guildford,Surrey,South East,Small hydro,0.035,2006,,,
